species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
WAE,"[[10, 1], [11, 31], [12, 75], [13, 86], [14, 40], [15, 27], [16, 74], [17, 61], [18, 28], [19, 10], [20, 2], [21, 1], [22, 1], [23, 1], [25, 2], [6, 12], [7, 112], [8, 49], [9, 4]]",25,6,117597,1995-06-05
QBS,"[[17, 2], [19, 1], [20, 1]]",20,17,117597,1995-06-05
CSH,"[[5, 5], [6, 2]]",6,5,117597,1995-06-05
GLR,"[[10, 1], [17, 2], [20, 1]]",20,10,117597,1995-06-05
YEB,"[[11, 3], [12, 3], [13, 3], [14, 3], [15, 6], [16, 1]]",16,11,117597,1995-06-05
WTS,"[[10, 12], [11, 9], [12, 6], [13, 5], [14, 2], [15, 3], [16, 9], [17, 19], [18, 16], [19, 7], [20, 8], [21, 1], [5, 1], [6, 4], [7, 1], [8, 1]]",21,5,117597,1995-06-05
LMB,"[[5, 1], [6, 3]]",6,5,117597,1995-06-05
SHR,"[[10, 1], [14, 1], [18, 2], [19, 2], [20, 4], [5, 1], [9, 1]]",20,5,117597,1995-06-05
NOP,"[[13, 1], [14, 2], [16, 3], [19, 3], [21, 1], [22, 2], [23, 1], [24, 1], [27, 1], [29, 1], [9, 1]]",29,9,117597,1995-06-05
CAP,"[[18, 1], [19, 1], [20, 2], [21, 4], [22, 4], [23, 5], [24, 4], [25, 5], [26, 7], [27, 2], [28, 2], [29, 3], [30, 3], [31, 2], [33, 2], [6, 4], [7, 12], [8, 23], [9, 4]]",33,6,117597,1995-06-05
YEP,"[[10, 74], [11, 52], [12, 11], [13, 6], [4, 70], [5, 181], [6, 110], [7, 496], [8, 170], [9, 78]]",13,4,117597,1995-06-05
RKB,"[[5, 2], [6, 2], [7, 1], [8, 4]]",8,5,117597,1995-06-05
FRD,"[[10, 3], [11, 2], [17, 2], [19, 1], [20, 2], [21, 1], [22, 1], [25, 1], [4, 58], [5, 592], [6, 3], [9, 1]]",25,4,117597,1995-06-05
BIB,"[[21, 1], [22, 1], [30, 1], [6, 1]]",30,6,117597,1995-06-05
BLC,"[[11, 1], [3, 2], [4, 4], [8, 1]]",11,3,117597,1995-06-05
BLG,"[[10, 1], [5, 3], [6, 1], [7, 1], [8, 5], [9, 1]]",10,5,117597,1995-06-05
BLB,"[[11, 1], [13, 2], [14, 8], [15, 3], [5, 2], [6, 3], [9, 1]]",15,5,117597,1995-06-05
BRB,"[[15, 1]]",15,15,117597,1995-06-05
CCF,"[[16, 1], [17, 3], [18, 1], [19, 2], [29, 1]]",29,16,117717,2000-05-22
BLG,"[[10, 1], [5, 1], [6, 4], [7, 7], [8, 13], [9, 11]]",10,5,117717,2000-05-22
BLB,"[[10, 1], [11, 1], [12, 7], [13, 29], [14, 35], [15, 11], [9, 1]]",15,9,117717,2000-05-22
BRB,"[[13, 2], [14, 2], [15, 1]]",15,13,117717,2000-05-22
SHR,"[[10, 3], [11, 1], [12, 7], [13, 3], [14, 1], [15, 6], [16, 10], [17, 10], [18, 7], [19, 3], [20, 6], [22, 3], [9, 1]]",22,9,117717,2000-05-22
NOP,"[[17, 1], [20, 2], [22, 1], [23, 2], [26, 1], [27, 1], [29, 1]]",29,17,117717,2000-05-22
CAP,"[[17, 1], [18, 3], [19, 7], [20, 4], [22, 4], [25, 2], [26, 4], [27, 4], [28, 3], [29, 1], [32, 2], [7, 1]]",32,7,117717,2000-05-22
WHB,"[[10, 1], [11, 38], [12, 29], [13, 20], [14, 5], [15, 7], [16, 1], [6, 2], [7, 2]]",16,6,117717,2000-05-22
YEP,"[[10, 266], [11, 194], [12, 24], [5, 107], [6, 383], [7, 421], [8, 160], [9, 149]]",12,5,117717,2000-05-22
