lake_ID,lake_name,CPUE,averageWeight,gear,gearCount,quartileCount,quartileWeight,species,survey_ID,survey_date,totalCatch,totalWeight
07004400,Madison,1.00,0.26,Standard gill nets,12,0.7-10.4,0.2-0.3,WHC,1320819027293000,2008-07-07,12,1419
07004400,Madison,4.44,0.55,Standard trap nets,9,0.7-25.7,0.3-0.6,BLB,1320819027293000,2008-07-07,40,9920
07004400,Madison,0.08,1.46,Standard gill nets,12,0.3-3.8,N/A,WHB,1320819027293000,2008-07-07,1,660
07004400,Madison,0.25,0.54,Standard gill nets,12,0.5-7.5,0.5-0.8,YEB,1320819027293000,2008-07-07,3,733
07004400,Madison,2.42,5.09,Standard gill nets,12,1.5-7.3,2.0-3.5,NOP,1320819027293000,2008-07-07,29,66949
07004400,Madison,0.58,1.74,Standard gill nets,12,N/A,N/A,GIS,1320819027293000,2008-07-07,7,5528
07004400,Madison,0.08,1.15,Standard gill nets,12,N/A,N/A,CCF,1320819027293000,2008-07-07,1,520
07004400,Madison,0.50,0.14,Standard gill nets,12,0.3-1.5,0.1-0.1,GOS,1320819027293000,2008-07-07,6,381
07004400,Madison,3.44,1.12,Standard trap nets,9,0.5-4.2,0.4-1.2,FRD,1320819027293000,2008-07-07,31,15729
07004400,Madison,0.11,0.46,Standard trap nets,9,0.5-6.6,0.2-0.4,WHC,1320819027293000,2008-07-07,1,210
07004400,Madison,0.22,1.60,Standard trap nets,9,0.2-0.9,0.5-1.5,WHB,1320819027293000,2008-07-07,2,1447
07004400,Madison,4.67,3.11,Standard gill nets,12,0.3-3.0,1.9-5.2,CAP,1320819027293000,2008-07-07,56,79063
07004400,Madison,44.95,0.70,Standard electrofishing,1.06777777777778,N/A,N/A,LMB,1320819027293000,2008-07-07,48,15145
07004400,Madison,2.89,0.91,Standard trap nets,9,0.9-5.7,0.5-0.8,YEB,1320819027293000,2008-07-07,26,10727
07004400,Madison,0.33,2.84,Standard trap nets,9,N/A,N/A,NOP,1320819027293000,2008-07-07,3,3870
07004400,Madison,9.11,2.26,Standard trap nets,9,0.4-2.0,2.6-6.0,CAP,1320819027293000,2008-07-07,82,84108
07004400,Madison,7.00,3.08,Standard gill nets,12,1.2-6.3,1.2-2.7,WAE,1320819027293000,2008-07-07,84,117235
07004400,Madison,0.08,1.87,Standard gill nets,12,0.3-0.8,0.4-1.0,LMB,1320819027293000,2008-07-07,1,850
07004400,Madison,9.42,0.22,Standard gill nets,12,N/A,N/A,BLG,1320819027293000,2008-07-07,113,11169
07004400,Madison,1.00,3.75,Standard gill nets,12,0.2-0.8,2.4-4.2,BOF,1320819027293000,2008-07-07,12,20432
07004400,Madison,0.42,2.41,Standard gill nets,12,N/A,N/A,SNG,1320819027293000,2008-07-07,5,5458
07004400,Madison,1.75,2.61,Standard gill nets,12,0.4-2.2,1.5-2.4,WTS,1320819027293000,2008-07-07,21,24900
07004400,Madison,0.33,7.10,Standard gill nets,12,0.3-1.7,N/A,BIB,1320819027293000,2008-07-07,4,12890
07004400,Madison,43.75,0.28,Standard gill nets,12,2.5-16.5,0.1-0.3,BLC,1320819027293000,2008-07-07,525,66985
07004400,Madison,6.92,0.66,Standard gill nets,12,2.5-45.0,0.3-0.7,BLB,1320819027293000,2008-07-07,83,24727
07004400,Madison,14.42,0.12,Standard gill nets,12,2.0-27.9,0.1-0.2,YEP,1320819027293000,2008-07-07,173,9563
07004400,Madison,0.78,3.35,Standard trap nets,9,0.3-1.2,0.8-2.8,WAE,1320819027293000,2008-07-07,7,10627
07004400,Madison,0.11,2.64,Standard trap nets,9,0.2-0.7,0.2-0.9,LMB,1320819027293000,2008-07-07,1,1198
07004400,Madison,33.22,0.16,Standard trap nets,9,7.5-62.5,0.1-0.3,BLG,1320819027293000,2008-07-07,299,22259
07004400,Madison,2.78,4.25,Standard trap nets,9,0.4-1.3,2.3-4.1,BOF,1320819027293000,2008-07-07,25,48140
07004400,Madison,0.67,1.72,Standard trap nets,9,N/A,N/A,SNG,1320819027293000,2008-07-07,6,4682
07004400,Madison,0.22,3.24,Standard trap nets,9,0.2-1.0,1.6-2.8,WTS,1320819027293000,2008-07-07,2,2938
07004400,Madison,5.11,0.36,Standard trap nets,9,1.8-21.2,0.2-0.3,BLC,1320819027293000,2008-07-07,46,7451
07004400,Madison,46.17,0.56,Standard gill nets,12,4.0-32.3,0.3-1.1,FRD,1320819027293000,2008-07-07,554,141952
07004400,Madison,0.98,0.00,Fall electrofishing,2.03333333333333,N/A,N/A,WAE,17782028735226000,2020-10-13,2,0
07004400,Madison,0.49,0.00,Fall electrofishing,2.03333333333333,N/A,N/A,GIS,17782028735226000,2020-10-13,1,0
07004400,Madison,21.67,0.17,Standard gill nets,6,0.7-10.4,0.2-0.3,WHC,118524,1988-07-06,130,21.76
07004400,Madison,2.00,0.92,Standard trap nets,4,0.7-25.7,0.3-0.6,BLB,118524,1988-07-06,8,7.37
07004400,Madison,0.17,1.62,Standard gill nets,6,0.3-3.8,N/A,WHB,118524,1988-07-06,1,1.62
07004400,Madison,0.50,0.10,Standard trap nets,4,0.3-1.7,0.1-0.2,YEP,118524,1988-07-06,2,0.19
07004400,Madison,12.00,1.02,Standard gill nets,6,0.5-7.5,0.5-0.8,YEB,118524,1988-07-06,72,73.75
07004400,Madison,10.67,2.47,Standard gill nets,6,1.5-7.3,2.0-3.5,NOP,118524,1988-07-06,64,158.17
07004400,Madison,2.50,1.72,Standard gill nets,6,N/A,N/A,GIS,118524,1988-07-06,15,25.81
07004400,Madison,4.00,1.09,Standard trap nets,4,0.5-4.2,0.4-1.2,FRD,118524,1988-07-06,16,17.37
07004400,Madison,5.50,0.24,Standard trap nets,4,0.5-6.6,0.2-0.4,WHC,118524,1988-07-06,22,5.3
07004400,Madison,1.50,2.71,Standard gill nets,6,0.3-3.0,1.9-5.2,CAP,118524,1988-07-06,9,24.37
07004400,Madison,5.25,1.08,Standard trap nets,4,0.9-5.7,0.5-0.8,YEB,118524,1988-07-06,21,22.75
07004400,Madison,0.50,4.62,Standard trap nets,4,N/A,N/A,NOP,118524,1988-07-06,2,9.25
07004400,Madison,0.75,3.31,Standard trap nets,4,0.4-2.0,2.6-6.0,CAP,118524,1988-07-06,3,9.94
07004400,Madison,4.50,1.56,Standard gill nets,6,1.2-6.3,1.2-2.7,WAE,118524,1988-07-06,27,42.12
07004400,Madison,0.67,1.01,Standard gill nets,6,0.3-0.8,0.4-1.0,LMB,118524,1988-07-06,4,4.06
07004400,Madison,0.33,3.28,Standard gill nets,6,N/A,N/A,BLG,118524,1988-07-06,2,6.56
07004400,Madison,0.83,0.22,Standard gill nets,6,N/A,N/A,PMK,118524,1988-07-06,5,1.12
07004400,Madison,0.17,0.37,Standard gill nets,6,N/A,N/A,HFS,118524,1988-07-06,1,0.37
07004400,Madison,1.67,3.81,Standard gill nets,6,0.2-0.8,2.4-4.2,BOF,118524,1988-07-06,10,38.06
07004400,Madison,0.50,3.71,Standard gill nets,6,N/A,N/A,SNG,118524,1988-07-06,3,11.12
07004400,Madison,5.00,1.27,Standard gill nets,6,0.4-2.2,1.5-2.4,WTS,118524,1988-07-06,30,38.2
07004400,Madison,0.17,1.00,Standard gill nets,6,0.3-1.7,N/A,BIB,118524,1988-07-06,1,1
