CPUE,averageWeight,gear,gearCount,quartileCount,quartileWeight,species,survey_ID,survey_date,totalCatch,totalWeight
17.00,1.68,Standard gill nets,1,2.0-10.8,1.7-3.1,NOP,117310,1995-08-10,17,12943
20.20,0.12,Standard trap nets,5,3.5-57.1,0.1-0.3,BLG,117310,1995-08-10,101,5553
1.20,0.12,Standard trap nets,5,0.4-2.8,0.1-0.2,YEP,117310,1995-08-10,6,328
8.80,0.05,Standard trap nets,5,0.2-0.8,0.3-1.5,LMB,117310,1995-08-10,44,990
2.00,0.19,Standard trap nets,5,2.1-24.1,0.2-0.4,BLC,117310,1995-08-10,10,850
0.40,0.09,Standard trap nets,5,N/A,N/A,NOP,117310,1995-08-10,2,86
1.00,0.20,Standard gill nets,1,N/A,N/A,BLG,117310,1995-08-10,1,90
19.00,0.07,Standard gill nets,1,0.3-0.6,0.5-1.5,LMB,117310,1995-08-10,19,570
12.00,0.43,Standard gill nets,1,2.0-22.3,0.1-0.2,YEP,117310,1995-08-10,12,2355
13.91,0.00,Backpack electrofishing,0.790555555555556,N/A,N/A,LMB,5151115331124000,2011-06-20,11,0
47.11,0.27,Standard trap nets,9,1.5-58.0,0.2-0.5,BLB,5151115331124000,2011-06-20,424,52852
7.59,0.00,Backpack electrofishing,0.790555555555556,N/A,N/A,BLG,5151115331124000,2011-06-20,6,0
0.11,0.64,Standard trap nets,9,0.4-5.1,0.4-0.9,BRB,5151115331124000,2011-06-20,1,291
0.44,0.20,Standard trap nets,9,0.4-2.8,0.1-0.2,YEP,5151115331124000,2011-06-20,4,357
2.50,3.07,Standard gill nets,6,2.0-10.8,1.7-3.1,NOP,5151115331124000,2011-06-20,15,20891
0.33,3.74,Standard gill nets,6,N/A,N/A,CCF,5151115331124000,2011-06-20,2,3394
1.26,0.00,Backpack electrofishing,0.790555555555556,N/A,N/A,YEP,5151115331124000,2011-06-20,1,0
22.77,0.00,Backpack electrofishing,0.790555555555556,N/A,N/A,GSF,5151115331124000,2011-06-20,18,0
56.00,1.60,Standard electrofishing,0.875,N/A,N/A,LMB,5151115331124000,2011-06-20,49,35463
5.25,0.00,15-ft beach seine,4,N/A,N/A,LMB,5151115331124000,2011-06-20,21,0
45.50,0.00,15-ft beach seine,4,N/A,N/A,BLG,5151115331124000,2011-06-20,182,0
0.11,7.45,Standard trap nets,9,N/A,N/A,NOP,5151115331124000,2011-06-20,1,3380
0.67,0.00,50-ft beach seine,3,N/A,N/A,HSF,5151115331124000,2011-06-20,2,0
1.33,4.14,Standard gill nets,6,0.8-3.8,1.4-3.0,WAE,5151115331124000,2011-06-20,8,15010
0.11,0.24,Standard trap nets,9,N/A,N/A,HSF,5151115331124000,2011-06-20,1,108
0.83,1.51,Standard gill nets,6,0.3-0.6,0.5-1.5,LMB,5151115331124000,2011-06-20,5,3428
15.67,0.12,Standard gill nets,6,N/A,N/A,BLG,5151115331124000,2011-06-20,94,5173
26.67,0.00,50-ft beach seine,3,N/A,N/A,LMB,5151115331124000,2011-06-20,80,0
274.67,0.00,50-ft beach seine,3,N/A,N/A,BLG,5151115331124000,2011-06-20,824,0
34.00,0.08,Standard gill nets,6,1.7-17.5,0.1-0.3,BLC,5151115331124000,2011-06-20,204,7052
