lake_ID,species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
08004500,LMB,"[[3, 1], [4, 60], [5, 1]]",5,3,117310,1995-08-10
08004500,YEP,"[[10, 2], [4, 5], [8, 8], [9, 3]]",10,4,117310,1995-08-10
08004500,BLG,"[[3, 14], [4, 17], [5, 48], [6, 22], [7, 1]]",7,3,117310,1995-08-10
08004500,BLC,"[[3, 5], [8, 4], [9, 1]]",9,3,117310,1995-08-10
08004500,NOP,"[[15, 1], [16, 1], [17, 3], [18, 4], [19, 6], [20, 2], [23, 1], [8, 1]]",23,8,117310,1995-08-10
08004500,WTS,"[[17, 1], [18, 1]]",18,17,5151115331124000,2011-06-20
08004500,YEP,"[[5, 28], [6, 13], [7, 4], [8, 2], [9, 1]]",9,5,5151115331124000,2011-06-20
08004500,CCF,"[[12, 1], [24, 1]]",24,12,5151115331124000,2011-06-20
08004500,WAE,"[[17, 1], [19, 1], [20, 1], [22, 2], [23, 1], [24, 1], [25, 1]]",25,17,5151115331124000,2011-06-20
08004500,BLC,"[[5, 236], [6, 47], [7, 8], [9, 1]]",9,5,5151115331124000,2011-06-20
08004500,BLB,"[[10, 465], [11, 89], [12, 1], [6, 6], [7, 30], [8, 33], [9, 60]]",12,6,5151115331124000,2011-06-20
08004500,BLG,"[[3, 3], [4, 51], [5, 214], [6, 278], [7, 24]]",7,3,5151115331124000,2011-06-20
08004500,HSF,"[[6, 1]]",6,6,5151115331124000,2011-06-20
08004500,LMB,"[[10, 5], [11, 6], [12, 5], [13, 3], [14, 5], [15, 6], [16, 2], [17, 7], [18, 3], [20, 2], [7, 2], [8, 5], [9, 3]]",20,7,5151115331124000,2011-06-20
08004500,NOP,"[[18, 2], [19, 2], [20, 2], [21, 1], [22, 2], [23, 1], [24, 1], [28, 2], [29, 1], [31, 1], [33, 1]]",33,18,5151115331124000,2011-06-20
08004500,BRB,"[[10, 1]]",10,10,5151115331124000,2011-06-20
08004500,NOP,"[[10, 2], [9, 1], [19, 1], [22, 3], [23, 2]]",23,9,117309,1994-08-25
08004500,CCF,"[[13, 1]]",13,13,117309,1994-08-25
