lake_ID,lake_name,species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
34004400,Diamond,BLC,"[[11, 2], [12, 2], [13, 1], [3, 4], [4, 74], [5, 9], [8, 1]]",13,3,118016,1994-07-05
34004400,Diamond,BOF,"[[20, 2], [21, 3], [22, 8], [23, 8], [24, 6], [25, 2], [29, 1]]",29,20,118016,1994-07-05
34004400,Diamond,NOP,"[[11, 2], [13, 2], [15, 4], [16, 4], [17, 9], [18, 1], [19, 1], [20, 1], [21, 2], [24, 2], [25, 2], [26, 2], [27, 2], [28, 2], [29, 1], [30, 1], [33, 2]]",33,11,118016,1994-07-05
34004400,Diamond,WAE,"[[5, 13], [6, 46], [7, 8], [8, 1], [10, 33], [11, 12], [16, 2], [17, 3], [18, 4], [19, 19], [20, 5], [21, 5], [22, 2], [23, 2], [26, 5], [27, 1], [5, 1], [6, 4], [7, 5], [8, 15], [9, 16]]",27,5,118016,1994-07-05
34004400,Diamond,YEP,"[[4, 13], [5, 184], [6, 34], [7, 36], [8, 7], [9, 1]]",9,4,118016,1994-07-05
34004400,Diamond,BLB,"[[10, 2], [12, 1], [13, 5], [8, 1]]",13,8,118016,1994-07-05
34004400,Diamond,LMB,"[[12, 1], [13, 7], [14, 2], [16, 5], [18, 1], [6, 1], [7, 1]]",18,6,118016,1994-07-05
34004400,Diamond,CAP,"[[21, 2], [22, 2], [23, 4], [24, 1]]",24,21,118016,1994-07-05
34004400,Diamond,HSF,"[[5, 1]]",5,5,118016,1994-07-05
34004400,Diamond,YEB,"[[11, 1], [12, 4], [13, 5], [14, 8], [15, 2]]",15,11,118016,1994-07-05
34004400,Diamond,BLG,"[[10, 2], [3, 1], [4, 3], [6, 11], [7, 10], [8, 11], [9, 3]]",10,3,118016,1994-07-05
34004400,Diamond,WTS,"[[16, 1], [17, 1], [20, 1], [8, 1]]",20,8,118016,1994-07-05
34004400,Diamond,WAE,"[[5, 1], [6, 1], [11, 1], [8, 8], [9, 5]]",11,5,12341725735926000,2017-09-20
34004400,Diamond,CAP,"[[16, 1], [18, 3], [19, 1], [20, 1], [23, 1], [24, 2], [25, 5], [26, 2], [27, 3], [28, 1], [29, 1]]",29,16,118135,1997-07-08
34004400,Diamond,YEB,"[[10, 7], [13, 5], [14, 1], [15, 1], [6, 2], [7, 2], [8, 1], [9, 5]]",15,6,118135,1997-07-08
34004400,Diamond,BLG,"[[3, 2], [4, 14], [5, 16], [6, 1], [8, 1]]",8,3,118135,1997-07-08
34004400,Diamond,WTS,"[[16, 1], [18, 1], [19, 2], [21, 1], [22, 1]]",22,16,118135,1997-07-08
34004400,Diamond,GOS,"[[4, 1], [5, 1]]",5,4,118135,1997-07-08
34004400,Diamond,BOF,"[[21, 1], [23, 1], [24, 3], [27, 2]]",27,21,118135,1997-07-08
34004400,Diamond,BLC,"[[11, 1], [3, 1], [7, 2], [8, 3]]",11,3,118135,1997-07-08
34004400,Diamond,WAE,"[[4, 1], [5, 16], [6, 19], [7, 3], [13, 3], [14, 6], [15, 2], [16, 2], [17, 2], [18, 4], [19, 5], [20, 6], [21, 8], [22, 5], [23, 6], [24, 1], [25, 3], [26, 2], [8, 4], [9, 1]]",26,4,118135,1997-07-08
34004400,Diamond,NOP,"[[15, 1], [17, 3], [18, 1], [19, 5], [20, 2], [21, 5], [22, 4], [23, 2], [24, 2], [25, 6], [26, 1], [27, 2], [28, 1], [31, 1], [32, 1], [7, 1]]",32,7,118135,1997-07-08
34004400,Diamond,PMK,"[[3, 3], [5, 2], [6, 1]]",6,3,118135,1997-07-08
