lake_ID,species,CPUE
01000100,BCS,0.33
01000100,BKF,1.67
01000100,BLB,0.855
01000100,BLC,1.5550000000000002
01000100,BLG,7.28
01000100,BRB,0.11
01000100,GOS,0.27
01000100,IOD,1.0
01000100,JND,2.33
01000100,LMB,10.67
01000100,NOP,1.33
01000100,PMK,0.67
01000100,RKB,0.235
01000100,SHR,0.11
01000100,WAE,1.8900000000000001
01000100,WTS,1.835
01000100,YEB,0.11
01000100,YEP,15.0
01000900,BLB,13.75
01000900,BLC,9.555
01000900,BLG,6.445
01000900,BOF,0.7250000000000001
01000900,BRB,7.72
01000900,GOS,1.2650000000000001
01000900,LMB,1.335
01000900,NOP,2.0
01000900,PMK,3.0549999999999997
01000900,WTS,0.17
01000900,YEB,2.43
01000900,YEP,9.67
01001400,BLB,1.0
01001400,BLC,7.115
01001400,BLG,6.22
01001400,BND,0.25
01001400,BNM,0.925
01001400,BOF,0.895
01001400,BRB,1.11
01001400,CNM,16.79
01001400,CSH,0.25
01001400,GOS,16.5
01001400,HSF,0.11
01001400,JND,2.615
01001400,LMB,1.8
01001400,NOP,0.93
01001400,OTM,5.0
01001400,PMK,1.87
01001400,RKB,0.32
01001400,SHR,0.14
01001400,TPM,0.52
01001400,WAE,0.33
01001400,WDS,3.0
01001400,WTS,0.835
01001400,YEB,1.25
01001400,YEP,1.83
01001500,BLB,3.59
01001500,BLC,10.875
01001500,BLG,0.22
01001500,BRB,34.145
01001500,GOS,0.22
01001500,LMB,0.14
01001500,NOP,3.375
01001500,PMK,2.84
01001500,RKB,0.25
01001500,WAE,0.25
01001500,WTS,2.0
01001500,YEP,1.75
01001900,BLB,29.25
01001900,BLC,3.015
01001900,BLG,1.52
01001900,BRB,2.25
01001900,FHM,60.0
01001900,FND,3.0
01001900,GOS,1.22
01001900,IOD,3.395
01001900,NOP,2.8
01001900,PMK,0.6
01001900,SDM,0.11
01001900,TPM,0.14
01001900,WTS,1.0
01001900,YEP,5.145
01002200,BLB,0.31
01002200,BLC,6.715
01002200,BLG,15.33
01002200,BOF,0.44
01002200,BRB,0.865
01002200,HSF,2.415
01002200,LMB,0.2
01002200,NOP,1.83
01002200,PMK,1.6099999999999999
01002200,YEB,8.0
01002200,YEP,1.83
01002300,BKF,0.79
01002300,BLB,0.18
01002300,BLC,1.04
01002300,BLG,11.765
01002300,BNM,27.21
01002300,BRB,0.83
01002300,CNM,0.17
01002300,HSF,1.9449999999999998
01002300,IOD,0.5
01002300,JND,3.5
01002300,LMB,1.89
01002300,NOP,3.33
01002300,PMK,2.22
01002300,SMB,0.22
01002300,SPO,2.75
01002300,WAE,1.11
01002300,WTS,0.11
01002300,YEB,16.58
01002300,YEP,1.115
01002400,BKT,4.55
01002400,BNT,1.5350000000000001
01002400,RBT,2.53
01002400,SPT,1.89
01002400,WTS,1.9100000000000001
01002700,BLC,1.895
01002700,BLG,6.07
01002700,BRB,0.25
01002700,GOS,0.5
01002700,HSF,0.18
01002700,LMB,1.0
01002700,NOP,1.67
01002700,PMK,2.75
01002700,WAE,0.86
01002700,WTS,0.375
01002700,YEB,1.33
01002700,YEP,3.665
01002800,BLB,5.5
01002800,BLC,8.625
01002800,BLG,0.25
01002800,BOF,0.25
01002800,NOP,3.0
01002800,WTS,2.0
01002800,YEB,2.625
01002800,YEP,2.0
01003100,BLB,5.25
01003100,BLC,31.625
01003100,BRB,1.5
01003100,GOS,2.25
01003100,YEP,11.5
01003300,BCS,1.385
01003300,BIB,0.12000000000000001
01003300,BLB,0.165
01003300,BLC,2.37
01003300,BLG,11.155000000000001
01003300,BNM,0.25
01003300,BOF,0.67
01003300,BRB,0.52
01003300,BUB,0.035
01003300,GOS,7.529999999999999
01003300,HSF,1.47
01003300,IOD,0.7200000000000001
01003300,JND,1.33
01003300,LMB,0.6000000000000001
01003300,NOP,1.9
01003300,PMK,1.975
01003300,SDM,0.25
01003300,SPO,10.0
01003300,WAE,1.51
01003300,WTS,0.30000000000000004
01003300,YEB,5.0649999999999995
01003300,YEP,4.58
01003400,BLB,0.5
01003400,BLC,6.5
01003400,BLG,9.75
01003400,BLH,1.065
01003400,BOF,0.355
01003400,BRB,1.25
01003400,GOS,9.865
01003400,HSF,0.5
01003400,JND,0.33
01003400,LMB,0.78
01003400,NOP,2.0
01003400,PMK,1.11
01003400,SHR,0.25
01003400,SPO,11.0
01003400,TPM,2.57
01003400,WAE,1.0
01003400,WTS,0.225
01003400,YEB,1.7650000000000001
01003400,YEP,7.5
01003600,BLB,0.75
01003600,BLC,1.4300000000000002
01003600,BLG,3.17
01003600,BOF,1.5
01003600,BRB,0.33
01003600,CSH,3.75
01003600,GOS,2.72
01003600,HSF,0.33
01003600,JND,1.195
01003600,LMB,2.415
01003600,NOP,1.33
01003600,OTM,2.0
01003600,PMK,0.7250000000000001
01003600,TPM,13.33
01003600,WAE,0.67
01003600,WTS,0.335
01003600,YEB,2.5
01003600,YEP,0.67
01003800,BLB,1.0
01003800,BLC,2.835
01003800,BLG,9.825
01003800,BRB,0.33
01003800,HSF,0.22
01003800,NOP,3.475
01003800,PMK,0.75
01003800,YEB,8.6
01003800,YEP,2.0
01004000,BLB,0.83
01004000,BLC,1.29
01004000,BLG,3.44
01004000,BNS,0.9
01004000,BOF,0.67
01004000,BRB,0.69
01004000,CCF,0.17
01004000,CNM,6.025
01004000,CSH,0.9
01004000,FND,0.09
01004000,GOS,24.4
01004000,HSF,0.615
01004000,IOD,0.71
01004000,JND,4.045
01004000,LMB,0.33
01004000,NOP,1.33
01004000,OTM,14.67
01004000,PMK,2.78
01004000,SHR,0.33
01004000,TLC,0.5
01004000,TPM,1.71
01004000,WAE,0.67
01004000,WTS,0.445
01004000,YEB,0.785
01004000,YEP,5.67
01004200,BLC,2.8899999999999997
01004200,BLG,12.5
01004200,BOF,0.83
01004200,BRB,0.11
01004200,CNM,7.2
01004200,GOS,3.05
01004200,HSF,0.67
01004200,IOD,0.985
01004200,LMB,0.5
01004200,NOP,2.585
01004200,PMK,0.67
01004200,RKB,0.17
01004200,WAE,0.17
01004200,YEB,0.5
01004200,YEP,0.335
01004500,BLB,32.0
01004500,BLG,0.38
01004500,BRB,21.04
01004500,GOS,0.12
01004500,LMB,0.29000000000000004
01004500,NOP,5.21
01004500,PMK,4.525
01004500,YEP,8.0
01004600,BCS,3.04
01004600,BIB,0.11
01004600,BKS,2.285
01004600,BLC,0.55
01004600,BLG,11.64
01004600,BNM,9.11
01004600,BNS,4.614999999999999
01004600,BOF,0.55
01004600,BRB,0.21000000000000002
01004600,BSD,0.33
01004600,CNM,5.34
01004600,FHM,0.2
01004600,HSF,0.75
01004600,IOD,1.0
01004600,JND,2.33
01004600,LED,2.6
01004600,LMB,0.78
01004600,NOP,4.0
01004600,PMK,1.29
01004600,RKB,0.56
01004600,TLC,1.6
01004600,WAE,0.5
01004600,WTS,0.5
01004600,YEB,1.2650000000000001
01004600,YEP,0.72
01004900,BRB,2.0
01004900,NOP,11.0
01004900,PMK,10.4
01004900,YEB,5.45
01004900,YEP,1.05
01005500,BLC,6.855
01005500,BLG,16.25
01005500,BOF,0.625
01005500,BRB,0.17
01005500,GOS,0.435
01005500,HSF,1.0
01005500,LMB,0.835
01005500,NOP,1.67
01005500,PMK,11.96
01005500,WTS,0.33
01005500,YEB,2.25
01005500,YEP,1.0
01005600,BLB,33.415
01005600,BLC,2.875
01005600,BLG,0.25
01005600,BOF,0.2
01005600,BRB,1.335
01005600,NOP,3.735
01005600,PMK,1.065
01005600,RKB,0.225
01005600,WAE,0.9
01005600,WTS,1.375
01005600,YEB,9.75
01005600,YEP,1.565
01005700,BLB,1.0
01005700,BLC,2.56
01005700,BLG,11.67
01005700,BOF,0.33
01005700,BRB,0.47000000000000003
01005700,GOS,0.11
01005700,HSF,0.25
01005700,LMB,0.525
01005700,NOP,1.28
01005700,PMK,0.67
01005700,RKB,0.56
01005700,SHR,0.665
01005700,TLC,0.67
01005700,WTS,0.5
01005700,YEB,0.47
01005700,YEP,0.5
01005800,BLB,0.22999999999999998
01005800,BLC,2.96
01005800,BLG,12.04
01005800,BRB,0.53
01005800,GOS,27.04
01005800,HSF,0.27
01005800,IOD,0.5
01005800,JND,0.33
01005800,LMB,0.29000000000000004
01005800,NOP,3.0
01005800,PMK,3.0
01005800,RKB,0.275
01005800,WAE,0.33
01005800,WTS,0.5
01005800,YEB,4.0
01005800,YEP,2.2
01005900,BLB,0.21000000000000002
01005900,BLC,4.12
01005900,BLG,23.56
01005900,BOF,1.67
01005900,BRB,0.16999999999999998
01005900,GOS,10.86
01005900,HSF,1.385
01005900,JND,8.01
01005900,LMB,4.67
01005900,NOP,1.47
01005900,PMK,1.11
01005900,WAE,0.17
01005900,WTS,0.5
01005900,YEB,0.75
01005900,YEP,5.125
01006200,BCS,77.0
01006200,BIB,0.08
01006200,BLB,0.665
01006200,BLC,1.4
01006200,BLG,0.6
01006200,BOF,1.375
01006200,BRB,0.39
01006200,BUB,0.115
01006200,CCF,0.245
01006200,CSH,242.5
01006200,FHM,0.25
01006200,GOS,11.575
01006200,HSF,0.2
01006200,IOD,0.375
01006200,JND,6.785
01006200,LGP,2.07
01006200,LKW,3.6
01006200,LMB,3.085
01006200,MTS,3.39
01006200,MUE,0.07
01006200,NOP,1.75
01006200,PMK,0.5
01006200,RHS,0.9
01006200,RKB,0.75
01006200,SHR,0.5
01006200,SLR,0.25
01006200,SMB,0.27
01006200,SPO,0.75
01006200,TLC,8.0
01006200,TPM,0.13
01006200,TRP,0.060000000000000005
01006200,WAE,7.135
01006200,WTS,2.035
01006200,YEB,0.15
01006200,YEP,11.7
01006300,BLC,0.875
01006300,BLG,8.44
01006300,BRB,1.085
01006300,HSF,2.25
01006300,LMB,0.5
01006300,NOP,4.915
01006300,PMK,0.96
01006300,WTS,0.12
01006300,YEB,16.025
01006400,BLB,0.2
01006400,BLC,4.33
01006400,BLG,12.1
01006400,BRB,0.25
01006400,GOS,0.585
01006400,HSF,0.67
01006400,LMB,0.325
01006400,NOP,0.5
01006400,PMK,1.67
01006400,WTS,0.5
01006400,YEP,1.67
01006500,BLB,31.48
01006500,BLC,9.43
01006500,BLG,15.535
01006500,BOF,0.775
01006500,BRB,5.14
01006500,CAP,0.52
01006500,GOS,1.0
01006500,HSF,2.0700000000000003
01006500,LMB,1.33
01006500,NOP,3.0
01006500,PMK,2.57
01006500,RKB,0.14
01006500,WAE,1.33
01006500,YEP,1.11
01006700,BIB,12.25
01006700,BLB,2.3
01006700,BOF,0.7
01006700,NOP,4.85
01006700,WAE,0.3
01006700,WTS,0.65
01006700,YEP,1.15
01006900,BLB,1.4
01006900,BLC,7.58
01006900,BLG,14.25
01006900,BOF,1.125
01006900,BRB,0.65
01006900,CRP,17.535
01006900,GOS,0.75
01006900,HSF,0.25
01006900,IOD,0.4
01006900,LMB,0.75
01006900,NOP,2.75
01006900,PMK,2.0
01006900,TPM,2.15
01006900,WAE,0.17
01006900,WTS,0.08
01006900,YEB,6.17
01006900,YEP,5.4
01007000,BIB,0.27
01007000,BLB,0.67
01007000,BLC,0.67
01007000,BLG,3.67
01007000,BOF,0.56
01007000,BRB,0.33
01007000,BUB,0.185
01007000,GOS,4.5
01007000,HSF,0.53
01007000,IOD,0.5
01007000,JND,0.33
01007000,LMB,0.585
01007000,NOP,2.1
01007000,PMK,0.44
01007000,RKB,0.4
01007000,TLC,4.8
01007000,WAE,0.615
01007000,WTS,0.4
01007000,YEB,0.21000000000000002
01007000,YEP,2.67
01007200,BLB,28.165
01007200,BLC,5.995
01007200,BLG,17.875
01007200,BOF,2.0
01007200,BRB,0.72
01007200,GOS,0.44
01007200,HSF,0.5
01007200,LMB,0.79
01007200,NOP,1.44
01007200,PMK,2.8899999999999997
01007200,WAE,0.11
01007200,WTS,1.0
01007200,YEB,8.0
01007200,YEP,9.47
01007300,BLB,0.11
01007300,BLC,3.25
01007300,BLG,38.71
01007300,BOF,0.235
01007300,BRB,0.25
01007300,GOS,0.29000000000000004
01007300,HSF,0.22
01007300,LMB,3.125
01007300,NOP,0.25
01007300,PMK,1.29
01007300,RKB,0.235
01007300,TLC,0.75
01007300,WTS,0.305
01007300,YEB,0.5
01007300,YEP,3.0
01007400,BLB,0.38
01007400,BLC,3.75
01007400,BLG,4.33
01007400,BOF,2.3899999999999997
01007400,BRB,1.19
01007400,GOS,1.5
01007400,NOP,4.75
01007400,PMK,10.09
01007400,YEB,1.0
01007400,YEP,2.0
01007700,BIB,0.5
01007700,BLB,0.375
01007700,BLC,1.83
01007700,BLG,6.17
01007700,BOF,1.25
01007700,BRB,0.92
01007700,CNM,1.88
01007700,GOS,24.44
01007700,HSF,0.375
01007700,LMB,0.33
01007700,NOP,1.5
01007700,PMK,2.0
01007700,WAE,2.665
01007700,WTS,0.17
01007700,YEB,1.69
01007700,YEP,5.665
01007800,BLB,0.335
01007800,BLC,1.95
01007800,BLG,24.6
01007800,BOF,0.625
01007800,BRB,0.5
01007800,HSF,4.0
01007800,LMB,1.125
01007800,NOP,2.085
01007800,PMK,1.875
01007800,WTS,0.5
01007800,YEB,10.0
