Name,ID,Nearest Town,County
Davis (Main Bay),1007101,McGregor,Aitkin
Hill (North Basin),1014201,,Aitkin
Hill (South Basin),1014202,,Aitkin
Cedar(Main Basin),1020901,,Aitkin
Cedar(West Bay),1020903,,Aitkin
Unnamed (south portion),2011402,Ramsey (Anoka),Anoka
South Tamarack,3024101,Rochert,Becker
North Tamarack,3024102,Rochert,Becker
Floyd (south bay),3038702,,Becker
Minnetonka,3053100,Audubon,Becker
Axberg (Main Basin),3066001,,Becker
Axberg (West Basin),3066002,,Becker
Bemidji (main lake),4013002,Lavinia (Beltrami),Beltrami
Big Bass (west basin),4013201,Lavinia (Beltrami),Beltrami
Big Bass (east basin),4013202,Lavinia (Beltrami),Beltrami
Unnamed (North portion),4044501,,Beltrami
Unnamed (South portion),4044502,,Beltrami
Donovan (main bay),5000402,,Benton
Eagle (North),7006001,,Blue Earth
Eagle (South),7006002,,Blue Earth
Upper (North) Island,9006001,Cromwell,Carlton
Lower (South) Island,9006002,Cromwell,Carlton
Wassermann (Main),10004801,,Carver
Unnamed (north portion),10020001,Victoria,Carver
Unnamed (south portion),10020002,Victoria,Carver
Little Thunder (West Bay),11000901,,Cass
Little Thunder (East Bay),11000902,,Cass
Roosevelt - North,11004301,,Cass
Roosevelt - South,11004302,,Cass
Inguadona (N. Bay),11012001,,Cass
Inguadona (S. Bay),11012002,,Cass
Long (South of Main),11014201,,Cass
Long (Main Basin),11014202,,Cass
Long (North of Main),11014203,,Cass
Long (South West Bay),11014204,,Cass
Wabedo (North East Bay),11017101,,Cass
Wabedo (South West Bay),11017102,,Cass
Broadwater Bay,11020101,,Cass
Woman (main lake),11020102,Longville,Cass
Leech (Main Basin),11020301,,Cass
Leech (Kabekona Bay),11020302,,Cass
Leech (Shingobee Bay),11020304,,Cass
Sylvan (Southwest Bay),11030401,,Cass
Sylvan (Northeast Bay),11030402,,Cass
Big Portage (West Bay),11030801,,Cass
Big Portage (East Bay),11030802,,Cass
Fourth (south portion),11046502,,Cass
Little Bass (Main),11047701,,Cass
Chisago (north portion),13001201,,Chisago
Chisago (south portion),13001202,,Chisago
North Center Lake,13003201,Center City,Chisago
North Center Pond,13003202,Center City,Chisago
Green (Main Basin),13004102,,Chisago
South Sunrise Pool,13005901,Stacy,Chisago
North Sunrise Pool,13005903,Stacy,Chisago
Chain (North Portion),13006301,Harris,Chisago
Chain (South Portion),13006302,North Branch,Chisago
Goose (North Bay),13008301,,Chisago
Goose (South Bay),13008302,,Chisago
