Lake ID,Lake Name,Lake County,Nearest Town,Lake Coordinates,Lake Area,Littoral Area,Lake Depth,Mean Depth,Water Access Sites
1004000,Aitkin,Aitkin,Libby,"[-93.289871, 46.804042]",658.82,453.0,35.0,0.0,[]
1003100,Anderson,Aitkin,Sheshebee,"[-93.232645, 46.737721]",91.34,83.0,16.0,3.0,[]
1016900,Bachelor,Aitkin,Aitkin,"[-93.72684, 46.473611]",53.56,30.0,47.0,12.0,[]
1004600,Ball Bluff,Aitkin,Jacobson,"[-93.280365, 46.932611]",168.64,32.0,78.0,25.0,['was01599']
1006300,Bass,Aitkin,McGregor,"[-93.3107, 46.80833]",89.13,55.0,42.0,0.0,[]
1007300,Bass,Aitkin,McGregor,"[-93.369439, 46.62145]",56.98,16.0,58.0,0.0,[]
1018300,Bass,Aitkin,Aitkin,"[-93.753878, 46.523935]",32.15,16.0,38.0,11.0,[]
1019500,Bass,Aitkin,Swatara,"[-93.712614, 46.851439]",120.33,89.0,42.0,7.0,[]
1004900,Bay,Aitkin,Jacobson,"[-93.248377, 46.902037]",35.16,23.49,36.0,0.0,[]
1006400,Bear,Aitkin,McGrath,"[-93.365978, 46.240797]",123.61,93.0,60.0,10.0,[]
1014400,Bible,Aitkin,Hill City,"[-93.636499, 47.00211]",19.06,11.0,45.0,0.0,[]
1015700,Big Pine,Aitkin,Cutler,"[-93.773076, 46.355391]",638.03,259.0,78.0,0.0,['was02736']
58013800,Big Pine,Pine,Finlayson,"[-93.045381, 46.20815]",398.95,135.0,25.0,15.0,['was02741']
1006200,Big Sandy,Aitkin,McGregor,"[-93.27133, 46.752979]",6124.88,3085.0,84.0,0.0,"['was01602', 'was02734', 'was01614', 'was02007']"
1020600,Birch,Aitkin,White Hawk,"[-93.808077, 46.369579]",0.0,0.0,0.0,0.0,[]
1016500,Black Shadow,Aitkin,Aitkin,"[-93.775472, 46.480225]",22.37,6.0,60.0,0.0,[]
1004500,Blackface,Aitkin,Ball Bluff,"[-93.246863, 46.92869]",191.8,170.0,18.0,0.0,['was02837']
1019800,Blackwater,Aitkin,Swatara,"[-93.719145, 46.883439]",0.0,0.0,0.0,0.0,[]
1018800,Blind,Aitkin,Pine Knoll,"[-93.746664, 46.650038]",304.37,316.98,17.0,0.0,['was01605']
1018100,Blue,Aitkin,Aitkin,"[-93.750411, 46.50228]",53.54,14.0,106.0,30.0,['was01608']
1005500,Boot,Aitkin,Jacobson,"[-93.253903, 46.858761]",79.47,39.0,67.0,0.0,[]
1007800,Brown,Aitkin,Libby,"[-93.329341, 46.766163]",68.2,62.0,28.0,0.0,[]
1021000,Brown,Aitkin,Little Pine,"[-93.772203, 46.676597]",87.06,50.0,40.0,0.0,[]
1003200,Camp,Aitkin,Tamarack,"[-93.211792, 46.734115]",0.0,0.0,0.0,0.0,[]
1009800,Camp,Aitkin,Kimberly,"[-93.480741, 46.527638]",0.0,0.0,0.0,0.0,[]
1015500,Camp,Aitkin,Bennettville,"[-93.778783, 46.38373]",0.0,0.0,0.0,0.0,[]
1016600,Carlson,Aitkin,Aitkin,"[-93.768479, 46.48417]",37.83,0.0,23.0,0.0,[]
1006500,Cedar,Aitkin,McGrath,"[-93.403855, 46.220419]",249.25,215.0,18.0,8.0,[]
