Site ID,Site Name,Directions to Site,Site Coordinates,Administrator of Site,Number of Docks,Number of Restrooms,Number of Parking Lots,Number of Accessible Spaces,Number of Trailer Spaces,Number of Vehicle Spaces,Parking Lot Surface,Number of Ramps,Ramp Surface
WAS00001,South Fork Kawishiwi River (S) Public Water Access Site,"From Ely drive 10.4 miles south on Hwy 1, turn northeast (left) into South Kawishiwi Forest Service campground, 2nd left onto access road.","[-91.733457, 47.816558]",U.S. Forest Service,1,1,1,0,7,7,gravel,1,concrete slab
WAS00002,"Rainy Lake, Ranier Public Water Access Site","In the City of Ranier; launch ramp is Spruce Street, parking nearby Main Street.","[-93.348122, 48.615995]",City of Ranier,1,0,1,0,8,0,,1,concrete slab
WAS00003,Severance Lake Public Water Access Site,Head east out of New Auburn for 7 miles to the access point.,"[-94.132386, 44.675798]",DNR Division of Fish and Wildlife,0,0,0,0,0,0,,0,
WAS00004,"Redwood River, Wabasso Public Water Access Site",On Hwy 6 between 325th St and 310th St,"[-95.229799, 44.507897]",DNR Division of Parks and Trails,0,0,1,0,10,0,natural,1,concrete slab
WAS00005,Shetek Lake Marsh's Landing Public Water Access Site,From US-59 follow Valhalla Rd east for 1.5 miles to the access.,"[-95.713395, 44.108909]",Murray County,2,1,1,0,15,5,gravel,2,concrete slab
WAS00006,"Shetek Lake, Inlet Public Water Access Site",From US-59 follow 221 St east for 0.7 miles to the access.,"[-95.729775, 44.167711]",DNR Division of Parks and Trails,0,0,1,0,0,0,gravel,1,concrete slab
WAS00007,St. James Lake (SE) Public Water Access Site,"Within the city limits of Saint James, off CSAH 57, on the east side of the road on St. James Lake.","[-94.640417, 43.974702]",City of St. James,0,1,1,0,0,0,asphalt,1,concrete slab
WAS00008,Sulem Lake Public Water Access Site,3.5 mi SW of Butterfield to S shore.,"[-94.837386, 43.926395]",DNR Division of Parks and Trails,0,0,1,0,0,10,natural,0,natural
WAS00009,"Watonwan River, Medelia Public Water Access Site",In Watona Park at on the south side of Madelia.,"[-94.422457, 44.039355]",City of Madelia,0,0,1,0,10,10,gravel,1,concrete slab
WAS00010,West Graham Lake (E) Public Water Access Site,"1 mile southwest of Kinbrae, on County Road 55, on Jack Lake.","[-95.50341, 43.80857]",Nobles County,0,0,1,0,10,6,gravel,1,concrete slab
WAS00011,Sarah Lake (W) Public Water Access Site,"9 mi N of Slayton on US Hwy 59, then 2.5 mi W on Cnty Rd 16, then 1 mi N on Cnty Rd 30, then 0.5 mi E on Cnty Rd 100 to W shore.","[-95.781379, 44.153273]",Murray County,0,0,1,0,10,0,natural,1,concrete slab
