site_id,site_name,directions_to_site,administrator_of_site,number_of_docks,number_of_restrooms,number_of_parking_lots,number_of_accessible_spaces,number_of_trailer_spaces,number_of_vehicle_spaces,parking_lot_surface,number_of_ramps,ramp_surface,site_longitude,site_latitude
WAS00001,South Fork Kawishiwi River (S) Public Water Access Site,"From Ely drive 10.4 miles south on Hwy 1, turn northeast (left) into South Kawishiwi Forest Service campground, 2nd left onto access road.",U.S. Forest Service,1,1,1,0,7,7,gravel,1,concrete slab,-91.733457,47.816558
WAS00002,"Rainy Lake, Ranier Public Water Access Site","In the City of Ranier; launch ramp is Spruce Street, parking nearby Main Street.",City of Ranier,1,0,1,0,8,0,,1,concrete slab,-93.348122,48.615995
WAS00003,Severance Lake Public Water Access Site,Head east out of New Auburn for 7 miles to the access point.,DNR Division of Fish and Wildlife,0,0,0,0,0,0,,0,,-94.132386,44.675798
WAS00004,"Redwood River, Wabasso Public Water Access Site",On Hwy 6 between 325th St and 310th St,DNR Division of Parks and Trails,0,0,1,0,10,0,natural,1,concrete slab,-95.229799,44.507897
WAS00005,Shetek Lake Marsh's Landing Public Water Access Site,From US-59 follow Valhalla Rd east for 1.5 miles to the access.,Murray County,2,1,1,0,15,5,gravel,2,concrete slab,-95.713395,44.108909
WAS00006,"Shetek Lake, Inlet Public Water Access Site",From US-59 follow 221 St east for 0.7 miles to the access.,DNR Division of Parks and Trails,0,0,1,0,0,0,gravel,1,concrete slab,-95.729775,44.167711
WAS00007,St. James Lake (SE) Public Water Access Site,"Within the city limits of Saint James, off CSAH 57, on the east side of the road on St. James Lake.",City of St. James,0,1,1,0,0,0,asphalt,1,concrete slab,-94.640417,43.974702
WAS00008,Sulem Lake Public Water Access Site,3.5 mi SW of Butterfield to S shore.,DNR Division of Parks and Trails,0,0,1,0,0,10,natural,0,natural,-94.837386,43.926395
WAS00009,"Watonwan River, Medelia Public Water Access Site",In Watona Park at on the south side of Madelia.,City of Madelia,0,0,1,0,10,10,gravel,1,concrete slab,-94.422457,44.039355
WAS00010,West Graham Lake (E) Public Water Access Site,"1 mile southwest of Kinbrae, on County Road 55, on Jack Lake.",Nobles County,0,0,1,0,10,6,gravel,1,concrete slab,-95.50341,43.80857
WAS00011,Sarah Lake (W) Public Water Access Site,"9 mi N of Slayton on US Hwy 59, then 2.5 mi W on Cnty Rd 16, then 1 mi N on Cnty Rd 30, then 0.5 mi E on Cnty Rd 100 to W shore.",Murray County,0,0,1,0,10,0,natural,1,concrete slab,-95.781379,44.153273
WAS00012,Shetek Lake (NW) Public Water Access Site,10.5 mi NW of Currie on NW tip of lake.,DNR Division of Parks and Trails,0,0,1,0,0,6,gravel,0,natural,-95.742604,44.17423
WAS00013,Sarah Lake (E) Public Water Access Site,"11 miles north of Slayton, on Highway 59, on the west side of the road, on Sarah Lake.",Murray County,1,0,1,0,6,5,gravel,1,concrete slab,-95.746615,44.15271
WAS00014,Sisseton Lake Public Water Access Site,"In Fairmont, access is on the E shore.",City of Fairmont,1,1,1,0,16,3,asphalt,1,concrete slab,-94.463806,43.650336
WAS00015,Temperance Lake Public Water Access Site,Undeveloped access. Contact administrator for directions.,City of Sherburn,1,0,1,0,5,0,gravel,1,concrete slab,-94.717388,43.66053
WAS00016,Wilmert Lake Public Water Access Site,3 mi S of Fairmont on NE shore.,DNR Division of Parks and Trails,1,0,1,0,10,6,gravel,1,concrete slab,-94.47778,43.565438
WAS00017,Yankton Lake Public Water Access Site,In Balaton on SW shore.,City of Balaton,1,1,1,0,15,10,natural,2,concrete slab,-95.866907,44.239468
WAS00018,Rock Lake Public Water Access Site,4 mi NW of Balaton to S shore.,DNR Division of Parks and Trails,1,0,1,0,12,0,gravel,1,concrete slab,-95.934317,44.270659
