city_name,city_longitude,city_latitude
Minneapolis,-93.2654692,44.9772995
Saint Paul,-93.0931028,44.9497487
Rochester,-92.4630182,44.0234387
Bloomington,-93.3204872,44.8322405
Duluth,-92.1251218,46.7729322
Brooklyn Park,-93.3443585,45.1004807
Plymouth,-93.46651,45.0065149
Woodbury,-92.9339449,44.919896
Lakeville,-93.2432791,44.650051
Blaine,-93.2349489,45.1607987
Maple Grove,-93.4419222,45.0984983
St. Cloud,-94.1642004,45.5616075
Eagan,-93.1659179,44.818173
Burnsville,-93.2773887,44.7670567
Coon Rapids,-93.3023898,45.1728923
Eden Prairie,-93.470786,44.8546856
Apple Valley,-93.21772,44.7319094
Minnetonka,-93.4638936,44.9405086
Edina,-93.3501222,44.8897027
St. Louis Park,-93.3569023,44.9475726
Shakopee,-93.5268986,44.7980186
Mankato,-93.9993505,44.1634663
Moorhead,-96.7538674,46.8739081
Cottage Grove,-92.9438218,44.8277446
Maplewood,-93.0456985,45.0082216
Richfield,-93.2877877,44.8766431
Inver Grove Heights,-93.0428119,44.8479039
Roseville,-93.1566107,45.0060767
Andover,-93.2913405,45.2332985
Savage,-93.3356204,44.7779041
Brooklyn Center,-93.3296296,45.0748543
Fridley,-93.2590388,45.0838291
Ramsey,-93.4605008,45.2320595
Chaska,-93.6021791,44.7894072
Prior Lake,-93.4226873,44.7133271
Oakdale,-92.9645794,44.985624
Rosemount,-93.12611,44.7391873
Elk River,-93.5671825,45.3038538
Shoreview,-93.1282878,45.0722056
Owatonna,-93.2261076,44.0839937
Chanhassen,-93.5307207,44.8618403
Austin,-92.9744896,43.6680928
Winona,-91.6392294,44.0500054
Faribault,-93.268827,44.2949637
Farmington,-93.1435497,44.6402434
White Bear Lake,-93.0069304,45.0838098
Champlin,-93.3974538,45.1888539
Otsego,-93.614857,45.2812733
New Brighton,-93.2060969,45.0628999
Crystal,-93.3606072,45.031823
Columbia Heights,-93.2517802,45.0460458
Lino Lakes,-93.0888324,45.1602442
West St. Paul,-93.0802073,44.9101545
Hastings,-92.8518697,44.7426933
Golden Valley,-93.3784618,44.9861176
Willmar,-95.0435373,45.1219492
New Hope,-93.3861037,45.0347176
Northfield,-93.161159,44.4582041
Forest Lake,-92.9851629,45.279106
South St. Paul,-93.0372808,44.8906694
St. Michael,-93.6648083,45.210202
Sartell,-94.2069365,45.6216319
Stillwater,-92.8134982,45.0564041
Buffalo,-93.8746941,45.1719084
Albert Lea,-93.3682656,43.6480127
Hopkins,-93.4074945,44.9271194
Anoka,-93.3871758,45.1977428
Red Wing,-92.5338013,44.5624676
Ham Lake,-93.2499508,45.2502429
Hugo,-92.9932734,45.159967
Hibbing,-92.937689,47.427155
Bemidji,-94.8907869,47.4785418
Alexandria,-95.3745015,45.8835101
Monticello,-93.7939996,45.3053901
Hutchinson,-94.3697057,44.8877401
Brainerd,-94.2008288,46.3580221
North Mankato,-94.0338055,44.1732916
Robbinsdale,-93.3395843,45.0313156
Fergus Falls,-96.077558,46.283015
New Ulm,-94.4614177,44.3140261
Sauk Rapids,-94.1673802,45.5913275
Worthington,-95.5956434,43.6205056
Marshall,-95.7886581,44.4469635
Rogers,-93.5524563,45.1888596
Lake Elmo,-92.8801862,45.0021685
Waconia,-93.7869088,44.8507957
Vadnais Heights,-93.0738306,45.0574659
North St. Paul,-92.9922512,45.0122571
Mounds View,-93.2075931,45.1068949
Cloquet,-92.4613669,46.7217279
Big Lake,-92.6163452,46.7218615
East Bethel,-93.2024487,45.3194095
St. Peter,-93.9585295,44.3238384
Mendota Heights,-93.1382749,44.8835768
North Branch,-92.9802176,45.5113515
Victoria,-93.6616266,44.8585738
Grand Rapids,-93.530214,47.237166
Cambridge,-93.2243921,45.5727408
Little Canada,-93.0877197,45.0269101
Fairmont,-94.4610832,43.6521775
Hermantown,-92.2382464,46.8068852
St. Anthony,-93.2187368,45.0283001
Detroit Lakes,-95.845325,46.817181
Arden Hills,-93.1666945,45.0761409
Dayton,-93.5149576,45.243854
Waseca,-93.5075767,44.0776638
Oak Grove,-93.326897,45.3407981
Little Falls,-94.3625024,45.9763545
East Grand Forks,-97.0175792,47.9317013
Mound,-93.6660719,44.9366295
Baxter,-94.286666,46.3433005
Thief River Falls,-96.1770667,48.1172301
Minnetrista,-93.7186813,44.923562
St. Francis,-93.3597084,45.3864283
Waite Park,-94.26067180000001,45.51301545
Virginia,-92.536571,47.52326
New Prague,-93.5760445,44.5433331
Orono,-93.6044033,44.9713519
Albertville,-93.6642199,45.2347086
Wyoming,-92.9971631,45.3363551
Mahtomedi,-92.9516037,45.0696886
Shorewood,-93.54483032110988,44.930272
Belle Plaine,-93.7685729,44.622741
Corcoran,-93.5475651,45.0951069
Crookston,-96.6081167,47.7739988
Isanti,-93.2477046,45.4902335
St. Joseph,-94.3180516,45.5645229
Spring Lake Park,-93.2492872,45.1154274
Kasson,-92.7503451,44.0297055
Delano,-93.7891331,45.0419073
Medina,-93.574375,45.0151361
Stewartville,-92.4883221,43.8554243
Jordan,-93.6261918,44.6663146
Byron,-92.6454395,44.0325922
Litchfield,-94.5280474,45.1271847
Zimmerman,-93.5899663,45.4432761
Carver,-93.625791,44.7635738
Glencoe,-94.1515671,44.7691886
Chisago City,-92.8899376,45.3735757
International Falls,-93.4105904,48.601033
Credit River,-93.3544108,44.6835889
St. Paul Park,-92.9980516,44.847917
La Crescent,-91.3040274,43.8280216
Princeton,-93.5803054,45.5698156
Lake City,-92.2678663,44.4478474
Montevideo,-95.723559,44.942523
Morris,-95.913941,45.586072
Redwood Falls,-95.1164478,44.5393721
North Oaks,-93.0791092,45.102744
Falcon Heights,-93.1762507,44.9898128
Elko New Market,-93.3388079,44.5658196
Becker,-93.8768904,45.3931821
Lindstrom,-92.8479921,45.3894083
Circle Pines,-93.1553635,45.144882
Lonsdale,-93.4285587,44.4802412
Luverne,-96.2127811,43.6542342
Watertown,-93.8469916,44.9636573
Newport,-93.0003862,44.8734744
Dilworth,-96.703412,46.876629
Oak Park Heights,-92.7929842,45.0313559
Windom,-95.1169366,43.8663464
Chisholm,-92.883528,47.489926
St. James,-94.6269181,43.9824577
Rockford,-93.7344099,45.0882963
Sauk Centre,-94.9525216,45.737465
Nowthen,-93.4704649,45.3281563
Wadena,-95.1361386,46.4424614
Wayzata,-93.511947,44.970759
Park Rapids,-95.0586322,46.9221813
Cold Spring,-94.4288849,45.4557973
Columbus,-93.0500469,45.2651162
Cannon Falls,-92.9062175,44.5068445
Le Sueur,-93.9154299,44.4612348
Rice Lake,-93.0460373,44.1105196
Pipestone,-96.317502,44.000584
Goodview,-91.6954403,44.061987
St. Charles,-92.0659824,43.9693607
Zumbrota,-92.6689143,44.2939669
Grant,-92.9104908,45.084411
Scandia,-92.8062958,45.2533659
Centerville,-93.0557757,45.1630223
Montrose,-93.9110814,45.0649634
Norwood Young America,-93.9216348,44.7735732
Pine Island,-92.6461155,44.2033956
Deephaven,-93.5224552,44.9296854
Mora,-93.2938352,45.8769031
Hanover,-93.6663524,45.155797
Bayport,-92.7813238,45.0212648
Long Prairie,-94.8652642,45.9741126
Independence,-93.7074634,45.0252407
Perham,-95.5725415,46.5944042
St. Augusta,-94.19957375108223,45.449738249999996
Melrose,-94.8075586,45.6746836
Two Harbors,-91.6730523,47.0257139
Plainview,-92.1717609,44.1647423
Montgomery,-93.5813413,44.4388525
Eveleth,-92.538824,47.462761
Benson,-95.6000349,45.3149604
Pine City,-92.9685423,45.8260672
Sleepy Eye,-94.724204,44.2971692
Annandale,-94.1244271,45.2627428
Breckenridge,-96.581626,46.265205
Rush City,-92.9654903,45.6855145
Eagle Lake,-93.8813419,44.1649669
Jackson,-94.9886022,43.6207916
Ely,-91.8671034,47.9033433
Blue Earth,-94.1021821,43.637455
Proctor,-92.2254695,46.7471638
Lexington,-93.168558,45.1387036
Milaca,-93.6544079,45.755799
Staples,-94.7933333,46.3550001
Chatfield,-92.1880907,43.8446296
Afton,-92.7835373,44.9027452
Moose Lake,-92.761976,46.4543725
Greenfield,-93.6913527,45.1032966
Mountain Iron,-92.6226926,47.5328719
Caledonia,-91.496387,43.6350469
Dodge Center,-92.8547287,44.0280202
Albany,-94.5700048,45.6299647
Barnesville,-96.41979,46.652182
Cokato,-94.1903675,45.075043
Roseau,-95.7613231,48.8457996
Breezy Point,-94.2169351,46.6166305
Granite Falls,-95.5455752,44.8099575
Cohasset,-93.620215,47.263556
Foley,-93.9137277,45.663512
Glenwood,-95.3897582,45.6502394
Pelican Rapids,-96.083112,46.570792
Wabasha,-92.0320116,44.3839438
Osseo,-93.4024558,45.1193908
Paynesville,-94.711892,45.3804687
Mayer,-93.8877453,44.8849625
Lake Crystal,-94.2188494,44.1057973
Le Center,-93.7302337,44.3894097
Janesville,-93.7080044,44.116078
Spring Valley,-92.3892966,43.6870098
Pequot Lakes,-94.3094399,46.6030198
Crosslake,-94.09306254941276,46.6747454
Rockville,-94.3408273,45.4719088
Wells,-93.725614,43.744063
Madelia,-94.4183249,44.0507339
Crosby,-93.9577612,46.4821848
Olivia,-94.9897214,44.77635
Gaylord,-94.220531,44.5530201
Hawley,-96.316731,46.880793
Excelsior,-93.5663455,44.9032963
Arlington,-94.0805278,44.6082967
Winsted,-94.0489618,44.9646334
St. Bonifacius,-93.7474636,44.9055181
Maple Lake,-94.0019227,45.229132
Aitkin,-93.7096936,46.5333985
Lauderdale,-93.2018736,44.994328
Sandstone,-92.8674231,46.1310598
Howard Lake,-94.0733088,45.0607968
Rice,-94.2205575,45.7537167
Waverly,-93.9663609,45.0666303
Clearwater,-94.0488721,45.4194099
Nisswa,-94.288609,46.5205224
Cologne,-93.7813523,44.771629
Tracy,-95.6191766,44.2332911
Eyota,-92.2292396,43.9887507
Ortonville,-96.444779,45.304687
Springfield,-94.9758156,44.2385706
Hoyt Lakes,-92.138507,47.519647
Coleraine,-93.427708,47.28883
Slayton,-95.755846,43.987742
Mountain Lake,-94.9309224,43.9392996
Blooming Prairie,-93.0552513,43.8668066
Hinckley,-92.9443707,46.0113409
Lester Prairie,-94.0416389,44.8838514
Kenyon,-92.9854841,44.2721868
Rushford,-91.7531265,43.8082606
Silver Bay,-91.2573708,47.2942968
Warroad,-95.314404,48.905266
Oronoco,-92.5350748,44.1642851
Braham,-93.1706367,45.7247444
Rock Creek,-92.9624327,45.7574574
Osakis,-95.152357,45.8669022
Waterville,-93.56797,44.2189914
Dundas,-93.2020856,44.4294359
Ada,-96.5153463,47.299689
Lakefield,-95.1716615,43.6774593
Stacy,-92.9874404,45.3980205
Canby,-96.276434,44.708853
Lakeland,-92.7709101,44.955056
Mapleton,-93.9560643,43.9288512
Maple Plain,-93.6557945,45.0071851
Gilbert,-92.4652,47.488909
Avon,-94.4516668,45.6091313
Long Lake,-93.5715908,44.9863892
Aurora,-92.2367644,47.5298533
Spring Park,-93.632293,44.9353256
Tonka Bay,-93.5930133,44.9085741
Warren,-96.7727048,48.196591
Lewiston,-91.8695909,43.9846785
Richmond,-94.518332,45.4541305
Madison,-96.195877,45.009685
Dassel,-94.3069284,45.0816298
Pierz,-94.1047124,45.9816318
Dawson,-96.054481,44.932738
Starbuck,-95.5311096,45.6144512
Wheaton,-96.499233,45.804405
Fosston,-95.751415,47.5763481
Winnebago,-94.1659,43.767716
Babbitt,-91.9440871,47.7087143
Appleton,-96.019767,45.196906
Clara City,-95.3664045,44.9549593
Hayfield,-92.8479006,43.8906201
Minneota,-95.985586,44.55885
Grand Marais,-90.334675,47.750467
Medford,-93.2463242,44.1741299
Fulda,-95.6002856,43.8705186
Glyndon,-96.578963,46.87524
Menahga,-95.0977002,46.7539483
Red Lake Falls,-96.2731977,47.8822511
Winthrop,-94.3663674,44.5430195
Preston,-92.0832157,43.6702423
Frazee,-95.7001391,46.7278049
Bagley,-95.398349,47.521623
New York Mills,-95.3763155,46.5180469
Elbow Lake,-95.976721,45.994127
New London,-94.9441773,45.3010756
Madison Lake,-93.815508,44.204377
Royalton,-94.293702,45.8299124
Renville,-95.2116731,44.7891264
Edgerton,-96.128637,43.872468
Goodhue,-92.623957,44.3997031
Spring Grove,-91.6359516,43.5610145
Fairfax,-94.7208211,44.5291291
Mahnomen,-95.9689651,47.3151116
New Richland,-93.4938287,43.8938493
Adrian,-95.933355,43.634942
Shafer,-92.7477114,45.3869076
Dellwood,-92.9724382,45.0899665
Elgin,-92.2515588,44.1302435
Cottonwood,-95.674187,44.608846
Nicollet,-94.1874823,44.2760635
Grand Meadow,-92.5721281,43.7061113
Harris,-92.9745619,45.5862761
Tyler,-96.134755,44.2783
Mantorville,-92.7551315,44.0678403
Wanamingo,-92.7906122,44.3043907
Lake Shore,-94.3605573,46.4855226
Atwater,-94.7810199,45.1363343
Spicer,-94.9400088,45.2330198
East Gull Lake,-94.3564527,46.4079131
Truman,-94.4389338,43.8277419
Eden Valley,-94.5461074,45.3260745
Taylors Falls,-92.6525042,45.4018632
Sherburn,-94.7269247,43.6521779
Harmony,-92.010176,43.555189
Watkins,-94.4086029,45.3152415
Lake St. Croix Beach,-92.7696252,44.9241607
Parkers Prairie,-95.3289243,46.1530178
Morristown,-93.444316,44.2264466
Hector,-94.715547,44.7438507
Scanlon,-92.4272669,46.7072662
Houston,-91.5684764,43.7632995
Bird Island,-94.8955521,44.7674614
Walker,-94.585026,47.101709
Keewatin,-93.072415,47.399657
Henderson,-93.9077438,44.5282971
Carlton,-92.4249135,46.6638322
Biwabik,-92.340179,47.532981
Le Roy,-92.5032843,43.5096626
Nashwauk,-93.168252,47.380214
Baudette,-94.600171,48.7124408
Hilltop,-93.2498116,45.0533306
Buhl,-92.77796,47.49354
Pine River,-94.4041625,46.7180163
Deer River,-93.7928136,47.3328087
Mazeppa,-92.5449085,44.2730219
Morgan,-94.9255465,44.4169049
Hallock,-96.946447,48.7744263
Battle Lake,-95.7139599,46.281056
Silver Lake,-94.1955334,44.9032959
Emily,-93.9580296,46.7310714
Henning,-95.4453162,46.3216278
Hancock,-95.796714,45.497461
West Concord,-92.8992187,44.1533704
Birchwood Village,-92.9773738,45.0606059
Landfall,-92.9766032,44.9507993
Clarkfield,-95.808639,44.790514
Browerville,-94.8671751,46.0852616
Kimball,-94.3002666,45.3124642
Blackduck,-94.548233,47.7333383
Isle,-93.4707924,46.138011
Stockton,-91.7698734,44.0274629
Bovey,-93.418819,47.295496
St. Stephen,-94.2744404,45.702743
Rushford Village,-91.7915382,43.8066309
Kerkhoven,-95.3205768,45.1930165
Fertile,-96.2802293,47.5360723
Raymond,-95.2386238,45.0157942
Lamberton,-95.2641639,44.2310677
Dover,-92.1387184,43.9737407
Gibbon,-94.5263709,44.5338518
Lilydale,-93.1260526,44.9160768
Onamia,-93.6677455,46.0705151
Cleveland,-93.8377341,44.3255219
Sebeka,-95.0889136,46.62996
Westbrook,-95.4345304,44.0405625
Elysian,-93.6733978,44.1988205
St. Clair,-93.85680613134562,44.0813768
Walnut Grove,-95.469449,44.2230121
Holdingford,-94.4700032,45.7310763
Belgrade,-95.0044608,45.4530207
Courtland,-94.3402456,44.2682979
Wabasso,-95.2560729,44.4019893
Lake Park,-96.0957328,46.8855616
Hampton,-93.0001355,44.61078
Brownton,-94.3502593,44.7319068
Lanesboro,-91.9768224,43.7207974
Kasota,-93.9649575,44.2924667
Greenwood,-93.5532897,44.9149631
Mabel,-91.7695949,43.5205234
Hoffman,-95.791994,45.829404
Twin Valley,-96.2589477,47.2602405
Welcome,-94.6187863,43.6671139
Trimont,-94.7072,43.7621774
Clarks Grove,-93.3289552,43.7639185
Ottertail,-95.5572643,46.425516
Greenbush,-96.1812985,48.7001218
Cass Lake,-94.60415,47.379398
Motley,-94.646125,46.3366315
Adams,-92.7185344,43.565067
Karlstad,-96.5189577,48.5775203
Freeport,-94.6902307,45.66241
Lake Benton,-96.287539,44.261079
Hills,-96.359044,43.527554
Rollingstone,-91.8168207,44.0977412
Ellendale,-93.3010744,43.8728443
La Prairie,-93.489102,47.228276
Clear Lake,-93.9988708,45.4449657
Minnesota Lake,-93.8327396,43.8409931
Green Isle,-94.008304,44.6791292
Clarissa,-94.9486356,46.1302414
Marine on St. Croix,-92.780607910118,45.197308050000004
Buffalo Lake,-94.6169333,44.7371841
Taconite,-93.38215,47.312718
Brooten,-95.1244669,45.5010752
Brownsdale,-92.8693543,43.7402404
Center City,-92.8166024,45.3938525
Grove City,-94.6830533,45.1505185
Loretto,-93.6355165,45.0546855
Hill City,-93.5985615,46.9932847
Barnum,-92.6885313,46.5030014
Marble,-93.298536,47.320494
Randall,-94.5036199,46.0910771
Sabin,-96.653133,46.779685
Jasper,-96.397388,43.849709
Hendricks,-96.424213,44.507186
Heron Lake,-95.3202763,43.7949593
Butterfield,-94.7946255,43.9583641
Evansville,-95.682824,46.004128
McIntosh,-95.8864205,47.6369051
Balaton,-95.872242,44.233296
Deerwood,-93.8988695,46.4735725
Stephen,-96.872862,48.4506658
Alden,-93.5761961,43.6703382
Ironton,-93.9777621,46.4774631
Foreston,-93.7105223,45.7344117
Glenville,-93.2814262,43.572754
Kandiyohi,-94.9311166,45.1321856
Halstad,-96.828626,47.3516282
Brownsville,-91.2798571,43.6941356
Hamburg,-93.9671917,44.7332953
Audubon,-95.981718,46.863292
Hokah,-91.3465263,43.7594117
Bertha,-95.0628047,46.2666295
Good Thunder,-94.0657885,44.0046863
Ranier,-93.348758,48.612991
Elmore,-94.0879847,43.5048149
Ivanhoe,-96.247372,44.463229
Eagle Bend,-95.0391936,46.1649633
Littlefork,-93.5544969,48.3982981
Argyle,-96.8207052,48.3330251
Browns Valley,-96.833407,45.595239
Minnetonka Beach,-93.5766241,44.9396852
Amboy,-94.1585259,43.887871
Graceville,-96.433299,45.5695863
Cook,-92.689618,47.852418
Lyle,-92.9435596,43.50533
Willernie,-92.9566037,45.0541329
Floodwood,-92.9196483,46.9291095
Gem Lake,-93.0324403,45.057466
Pillager,-94.4741744,46.3299668
Verndale,-95.0147464,46.3982953
Franklin,-94.8805473,44.5282947
Sunfish Lake,-93.098551,44.8707992
Prinsburg,-95.1875089,44.9338496
Geneva,-93.2679109,43.8232621
Racine,-92.4827005,43.7760146
Claremont,-92.9976958,44.0441674
Cosmos,-94.6968269,44.9363775
Brewster,-95.4686153,43.698573
Sacred Heart,-95.3516784,44.786903
Brandon,-95.5987378,45.9651633
Rothsay,-96.2808631,46.4739548
Jenkins,-94.3347171,46.646074
Carlos,-95.2922574,45.9724628
Kiester,-93.7121663,43.5363429
Ellsworth,-96.018356,43.518023
Pennock,-95.1764036,45.1488509
Upsala,-94.5713974,45.8107986
Lafayette,-94.3952541,44.4466306
Ulen,-96.2589491,47.0788502
Ashby,-95.81755,46.093016
Stewart,-94.4858185,44.7246843
Bethel,-93.2678063,45.404098
Clearbrook,-95.431123,47.691901
Altura,-91.9396022,44.0716301
Randolph,-93.0199336,44.526078
New Germany,-93.9705255,44.8841292
Sturgeon Lake,-92.8238459,46.3811622
Danube,-95.097225,44.7919049
Fifty Lakes,-94.093035,46.7391272
Wrenshall,-92.3856282,46.6196881
Miltona,-95.2914238,46.0441295
Wykoff,-92.268221,43.7071863
Vermillion,-92.9671545,44.6735782
Lynd,-95.890302,44.386072
Badger,-96.0141311,48.7829985
Kellogg,-91.9957204,44.3085769
Tower,-92.276651,47.804984
