lake_id,lake_name,lake_county,nearest_town,lake_area,littoral_area,lake_depth,mean_depth,water_access_sites,lake_longitude,lake_latitude
01004000,Aitkin,Aitkin,Libby,658.82,453.0,35.0,0.0,[],-93.289871,46.804042
01003100,Anderson,Aitkin,Sheshebee,91.34,83.0,16.0,3.0,[],-93.232645,46.737721
01016900,Bachelor,Aitkin,Aitkin,53.56,30.0,47.0,12.0,[],-93.72684,46.473611
01004600,Ball Bluff,Aitkin,Jacobson,168.64,32.0,78.0,25.0,['was01599'],-93.280365,46.932611
01006300,Bass,Aitkin,McGregor,89.13,55.0,42.0,0.0,[],-93.3107,46.80833
01007300,Bass,Aitkin,McGregor,56.98,16.0,58.0,0.0,[],-93.369439,46.62145
01018300,Bass,Aitkin,Aitkin,32.15,16.0,38.0,11.0,[],-93.753878,46.523935
01019500,Bass,Aitkin,Swatara,120.33,89.0,42.0,7.0,[],-93.712614,46.851439
01004900,Bay,Aitkin,Jacobson,35.16,23.49,36.0,0.0,[],-93.248377,46.902037
01006400,Bear,Aitkin,McGrath,123.61,93.0,60.0,10.0,[],-93.365978,46.240797
01014400,Bible,Aitkin,Hill City,19.06,11.0,45.0,0.0,[],-93.636499,47.00211
01015700,Big Pine,Aitkin,Cutler,638.03,259.0,78.0,0.0,['was02736'],-93.773076,46.355391
58013800,Big Pine,Pine,Finlayson,398.95,135.0,25.0,15.0,['was02741'],-93.045381,46.20815
01006200,Big Sandy,Aitkin,McGregor,6124.88,3085.0,84.0,0.0,"['was01602', 'was02734', 'was01614', 'was02007']",-93.27133,46.752979
01020600,Birch,Aitkin,White Hawk,0.0,0.0,0.0,0.0,[],-93.808077,46.369579
01016500,Black Shadow,Aitkin,Aitkin,22.37,6.0,60.0,0.0,[],-93.775472,46.480225
01004500,Blackface,Aitkin,Ball Bluff,191.8,170.0,18.0,0.0,['was02837'],-93.246863,46.92869
01019800,Blackwater,Aitkin,Swatara,0.0,0.0,0.0,0.0,[],-93.719145,46.883439
01018800,Blind,Aitkin,Pine Knoll,304.37,316.98,17.0,0.0,['was01605'],-93.746664,46.650038
01018100,Blue,Aitkin,Aitkin,53.54,14.0,106.0,30.0,['was01608'],-93.750411,46.50228
01005500,Boot,Aitkin,Jacobson,79.47,39.0,67.0,0.0,[],-93.253903,46.858761
01007800,Brown,Aitkin,Libby,68.2,62.0,28.0,0.0,[],-93.329341,46.766163
01021000,Brown,Aitkin,Little Pine,87.06,50.0,40.0,0.0,[],-93.772203,46.676597
01003200,Camp,Aitkin,Tamarack,0.0,0.0,0.0,0.0,[],-93.211792,46.734115
01009800,Camp,Aitkin,Kimberly,0.0,0.0,0.0,0.0,[],-93.480741,46.527638
01015500,Camp,Aitkin,Bennettville,0.0,0.0,0.0,0.0,[],-93.778783,46.38373
01016600,Carlson,Aitkin,Aitkin,37.83,0.0,23.0,0.0,[],-93.768479,46.48417
01006500,Cedar,Aitkin,McGrath,249.25,215.0,18.0,8.0,[],-93.403855,46.220419
01020900,Cedar,Aitkin,Aitkin,1725.81,405.0,105.0,28.0,['was01609'],-93.800175,46.499521
01014500,Chamberlin,Aitkin,Hill City,10.38,9.0,24.0,0.0,[],-93.619039,47.010145
01016400,Christmas,Aitkin,Deerwood (Crow Wing),0.0,0.0,0.0,0.0,[],-93.8036,46.498818
01009300,Clear,Aitkin,Glen,573.5,363.0,24.0,6.0,['was01613'],-93.502883,46.428853
